,id,content,category
0,1,"A study led by the University of Exeter of more than 50,000 adults analysed the difference between taking blood pressure measurements from two arms compared to just one.",Health
1,2,"The 45-year-old woman was having sex with her husband in Hattiesburg, Mississippi, when she felt the sudden, stabbing pain near her heart. She suffered a leak in her aorta after the orgasm.",Health
2,3,"The film changes colour based on levels of nitrates. An app then analyses the colour and gives a nitrite concentration value, report  experts at Universidad de Burgos, Spain.",Health
3,4,Beauty and cosmetic clinics across the UK have been told to stop promoting risky hay fever injections or risk targeted enforcement action from Britain's advertising and drug watchdogs.,Health
4,5,Analysis by FAIR Health - which has one of America's largest claims databases - showed a 357 percent surge in claims linked to the tick-borne illness from 2007 to 2021 in rural areas.,Health
5,6,"When Luke Pembroke was diagnosed with the bleeding disorder haemophilia at 11 months old, doctors offered his mother Debra a glimmer of hope - one day there might be a cure.",Health
6,7,"The study of nine over-65s with prediabetes in Barcelona, Spain, measured how switching to quinoa-rich diets impacted their blood glucose levels and weight.",Health
7,8,Researchers from Cambridge University said there is 'no evidence of a causal link' between prostate cancer and prostate size or problems urinating.,Health
8,9,"Jessie Jane O'Brien, 31, from Rossendale, Lancashire, was left with saggy skin after her 13st weight loss, and splashed out on surgery including a tummy tuck, liposuction, various lifts including back and breast along with implants,",Health
9,10,Only two states - Montana and Wyoming - are yet to detect the virus. There is 'a great deal of concern' that it could spread to children or pregnant women.,Health
10,11,Imperial College London researchers reviewed studies involving thousands of women vaccinated against HPV who had to have pre-cancerous cells removed.,Health
11,12,Adderall could soon be in short supply in the United States as Teva Pharmaceuticals reports supply disruptions hurting its ability to make brand name and generic versions of it.,Health
12,13,"The unidentified man, who attended hospital on his own in Java, Indonesia, complained that his penis had been swollen for four hours.",Health
13,14,A team at Yale University found that the compound OrganEx could maintain an animal's organs for six hours after death - opening the door for expanding the number of transplantable organs.,Health
14,15,"A study of nearly 1,300 women in Mexico and Iceland found the top fifth stressed people had nearly a quarter more cortisol concentrated in their hair than those in the bottom fifth.",Health
15,16,A study of half a million Britons found those who 'frequently' did chores were a fifth less likely to develop dementia. MailOnline's handy guide reveals how you can stay fit through housework.,Health
16,17,"UK researchers calculated that there were 95,000 fewer obesity cases and almost 5,000 fewer people with diabetes, heart disease and stroke in London the year after the policy was introduced.",Health
17,18,"One set of researchers from Minnesota found women who suffer pre-eclampsia end up having more toxic clumps in their blood, a hallmark sign of Alzheimer's, years after giving birth.",Health
18,19,No10's chief scientific adviser Sir Patrick Vallance will resign from his £185k-a-year post in April. He will then take on the role of chairman of the Natural History Museum's Board of Trustees.,Health
19,20,"Derek Cornelius, 71, a retired social worker from West Parley, Dorset, was given months to live after doctors first found the 22lb tumour at Royal Bournemouth Hospital last October.",Health
20,21,The recommendation was issued by the Women's Preventive Services Initiative which said they should be given counseling to help maintain or limit their weight.,Health
21,22,"Under the Covid recovery plan, former Health Secretary Sajid Javid said no one in England would be waiting more than 24 months for hospital care, such as hip and knee operations, by July.",Health
22,23,"Around 11million people in the UK suffer from back pain, making it the leading cause of disability but a study at a London university found one-hour therapy sessions led to long-term relief for some.",Health
23,24,The dust has barely settled following the Lionesses' historic Euro 2022 win over Germany. But gloomy scientists are already warning the match was likely a Covid super-spreader event.,Health
24,25,"Kristen Hopkins told family members she was 11 weeks pregnant while attending a wedding in Clearwater, Florida. But a week after flying home she began to suffer mild cramps and indigestion.",Health
25,26,"Researchers found eating just two slices of Jarlsberg - a mild, nutty-flavoured dairy product hailing from Norway - each day is enough to reduce the risk of developing osteoporosis.",Health
26,27,"Official documents showed how the 'strategic' stockpile was allowed to plummet to 0.012 percent from its peak in 2013, as doses of the Jynneos vaccine - which only have a three-year shelf life - ran out.",Health
27,28,"Researchers at Columbia University in New York found people working low-wage jobs suffer quicker cognitive decline, which can lead to dementia. They studied 2,900 adults in their 50s.",Health
28,29,"Starting the school day later can improve students' moods, which in turn could affect academic performance, say experts at the UNILA in Foz do Iguaçu, Brazil.",Health
29,30,"The Indiana Department of Health announced the infections when it updated its cases tally, but refused to give any further information citing privacy concerns.",Health
30,31,Trusts in England are beginning to publicly declare the number of patients who have been left waiting over 12 hours from entering an emergency department.,Health
31,32,"Appearing on Channel 4's Super Surgeons last night, Ian, 71, revealed how a palliative care nurse suggested he pursue treatment at Royal Marsden in London.",Health
32,33,"DR CHRIS VAN TULLEKEN: Xand hit 19st and that bothered me - not because I cared about how he looked, but because I was worried about what it would do to him in the long term.",Health
33,34,"A study led by Oxford University found varicella zoster virus (VZV), which causes chickenpox and shingles, can set off a chain reaction in the brain linked to dementia.",Health
34,35,"The Royal College of Midwives (RCM) is consulting its members in England and Wales over possible strike action after reacting angrily to a proposed £1,400 pay rise.",Health
35,36,What few people realise is that palliative care is much more than simply injecting powerful painkilling medication to ease suffering in the final few days or hours.,Health
36,37,"Melissa Davies, 35, of Coventry, was unhappy with her smile so spent £6,000 to have a veneer fitted at a Turkish clinic she found online.",Health
37,38,"DR MEGAN ROSSI: In fact, gut symptoms are a pretty common sign of a Covid infection itself. Although I managed to dodge them, many of my clients weren't so lucky.",Health
38,39,The electric 'kettle' has a valve in the spout that partially blocks airflow when a patient blows into it for ten or 15 seconds at a time.,Health
39,40,Bites and stings can ruin any summer outing or holiday - but an array of products claims to ease the pain and irritation. We asked experts to assess commonly available products. We rated them.,Health
40,41,"SIR MUIR GRAY: The first person who came to see me in hospital when I woke the morning after having a stent inserted into a coronary artery was not a doctor or a nurse, but a fitness trainer.",Health
41,42,"Brazilian scientists monitoring 10,000 people for ten years found those who got a quarter of their claories from processed foods - also including soft drinks and nuggets.",Health
42,43,"A study of more than 150 Britons by University College London team failed to stack up the 'use it or lose it' theory, instead showing that people's memory was better when they set reminders.",Health
43,44,Researchers at the University of Düsseldorf have identified three themes that are common in the dreams of people with diagnosed clinical anxiety disorders.,Health
44,45,"EXCLUSIVE: This website has put damning NHS England data into a handy searchable tool, allowing you to see exactly how your hospital is faring in tackling the Covid-fuelled pressures.",Health
45,46,Personal wellness has become a huge industry and a middle-class obsession. Daisy Waugh has checked out the five-star Pan Pacific London 'wellness' hotel.,Health
46,47,"They have been joined by 19 charities to pen a letter arguing the medication is a matter of life or death for Britons with weakened immune systems, such as those with blood cancer or an organ transplant.",Health
47,48,"As part of his quest to succeed Boris Johnson as Prime Minister, the Tory leadership hopeful insisted the policy would stay in place until backlogs are cut to manageable levels.",Health
48,49,"When people think of 'alternative' medicine, they often think of charlatans and quacks. But research suggests some remedies once written off as bunk may in fact help treat a range of conditions",Health
49,50,Dr Max Pemberton reveals that he is routinely astonished at how powerful the word sorry can be. He says he wishes the NHS in particular would take this on board,Health
50,51,"Midwife numbers are reaching a dangerous level which could put lives at risk, as NHS records show more staff leaving than joining the profession for the first time in a decade.",Health
51,52,Since the pandemic 60 per cent of people have reported an increase in sleep problems. Smart sleep masks are the new device claiming to help us sleep by enlisting the support of other senses,Health
52,53,"EVE SIMMONS: A lot has been said about muscle-bound men leering from behind the machines, making us uncomfortable. But they weren't my problem - it was the women (stock image).",Health
53,54,State health commissioner Dr Mary Bassett said the declaration would 'free up' extra funding to support efforts to raise awareness of the disease to prevent its spread.,Health
54,55,"It's alleged a pivotal study on the cause of Alzheimer's disease contained manipulated results, potentially leading other scientists down a blind alley.",Health
55,56,"HEALTH NOTES: A poll has found three-quarters of Britons are not aware that Kidney disease, which affects roughly 1.8 million people in the UK, can increase the chances of dying from heart problems.",Health
56,57,"Experts have raised concerns about a growing reluctance from doctors to come forward when help is needed, and while cabin crew are trained in first aid, there's the question of who takes responsibility.",Health
57,58,"DR ELLIE CANNON: The Mail On Sunday's GP discusses a ganglion cyst in a reader's wrist, another's difficulties with erectile dysfunction and a reader's worries over potential heart problems.",Health
58,59,One high-profile GP who focuses on improving women's health said the rise in demand may be thanks to the likes of Davina McCall (pictured) calling for more support for menopausal women.,Health
59,60,"In a milestone ruling, UK health chiefs have approved nivolumab for sufferers who are too frail to withstand treatments such as chemotherapy (file photo)",Health
60,61,Experts say the new minimally invasive procedure could 'save thousands' of people suffering from 'leaky' mitral valves inside their hearts if offered more widely by the NHS.,Health
61,62,"Brain eating amoeba are lurking in fresh water rivers and lakes all across America this summer, experts warn. Two infections have already been recorded this year.",Health
62,63,"The infants were all diagnosed over a month-long period up to mid-May this year, and all but one were hospitalized. In 2018, only four cases were recorded a month in spring.",Health
63,64,Two-thirds of adults in the US and UK fail to get the recommended eight hours and studies suggest the average American and Briton gets around just six hours.,Health
64,65,"A team of researchers led by RUSH university in Chicago, Illinois found adults over 65 years old who regularly ate the fruits had fewer tau proteins in their brains, decreasing Alzheimer's risk.",Health
65,66,DR MICHAEL MOSLEY: The travel chaos experienced by many so far this summer might put others off the idea of having a holiday at all - but I sincerely hope it doesn't.,Health
66,67,Residents of Mississippi are more than 50% more likely to die of heart failure than people who live in any other state. Neighboring states like also make up leaders.,Health
67,68,"North London-based Gender Identity Development Service, part of the Tavistock and Portman NHS Foundation Trust, has treated 9,000 children as young as 10 since it opened in 1989.",Health
68,69,"An estimated 2.6million people had the virus on any given day in England in the week to July 20, according to the Office for National Statistics, down 16 per cent on the previous week.",Health
69,70,"Dr Xavier Becerra raised the stakes today, suggesting in a briefing hosted by the Centers for Disease Control and Prevention that monkeypox could spread to other groups.",Health
70,71,The poorest people in England are more likely to be fat that their richer counterparts and rising food costs are only going to make things worse an analysis from think-tank the King's Fund warns.,Health
71,72,"Patients described by inspectors as having a 'mental health crisis', had to stay in a short stay area with no natural light at Royal Sussex County Hospital in Brighton in April.",Health
72,73,Sin or super food? It's hard to think of another food that's been both vilified and hyped up as much as chocolate. Dieters used to be told to steer clear of it but studies show it has a myriad of health benefits.,Health
73,74,Mindfulness could help you feel less pain according to research from University of Wisconsin in the US that scanned the brains of people taught the trendy guided medication technique.,Health
74,75,"More than two percent of U.S. adults use melatonin regularly, a five-fold increase in 20 years. Doctors cited in JAMA say the unregulated spike is 'a crazy situation that has gotten out of hand'.",Health
75,76,"Researchers led by medics at Harvard Medical School, in Massachusetts, followed 26,000 people - half of whom took Vitamin D supplements.",Health
76,77,"There were just 27,558 full-time equivalent, fully-qualified GPs working in England last month, down 1.6 per cent on the 18,000 recorded in June 2021. There were 29,000 working in June 2017.",Health
77,78,Engineers from the Massachusetts Institute of Technology have developed a wearable sticker that produces ultrasound images. The stickers can show what is happening inside the body.,Health
78,79,"US researchers, who monitored more than 500 older adults, found that those who experienced a sharp decline in their olfactory sense were nearly twice as likely to develop Alzheimer's.",Health
79,80,"Modelling at the University of California, Riverside, found high concentrations of TGF-beta - naturally found in the follicles - can be toxic to them.",Health
80,81,A&amp;E patients were warned of '40 hour+' plus waits at Royal Bolton Hospital in Greater Manchester on Friday with patients forced to sleep on the floor in signs NHS services are buckling under pressure.,Health
81,82,Official figures show 258 people in England died on July 19 within 28 days of testing positive for Covid - the same day the mercury hit 40.2C (104.4F).,Health
